"--164552ea90517a40","Повстання"
"heist_skm_bex_briefing","Друзі, час наступної роботи з заручником, цього разу в Мексиці. Цей банк в маленькому містечку ідеальне місце відбиватися від бовдурів та дивитись як підіймається викуп. Дивіться за заручником та тримайте фортецю стільки, скільки зможете."
"heist_skm_bex_h1","Банк Сан Мартін"
"heist_skm_big2","Великий Банк"
"heist_skm_big2_briefing","Ми йдемо до Benevolent Bank. Цього разу ми не за сховищем, ми візьмемо заручника і спостерігатимемо, як поліцейські розбивають собі голови, намагаючись його врятувати. Тримай голову холодною, і ми отримаємо непогану виплату за це."
"heist_skm_big2_h1","Великий Банк"
"heist_skm_cas","Казино Ґолден Ґрін"
"heist_skm_cas_briefing","Гаразд, друзі. Настав час для ще одного захоплення заручника. Звичайно, все буде дружелюбно. Цього разу ми йдемо до Golden Grin Casino, тому переконайтеся, що ви охороняєте свої фішки і не робите занадто великих ставок."
"heist_skm_cas_h1","Казино Ґолден Ґрін"
"heist_skm_mallcrasher","Торгівельна Дробарка"
"heist_skm_mallcrasher_briefing","Ей, хто хоче закупитись? В нас є завдання в торгівельному центрі, викуп якщо точно. Візьміть заручників та тримайте їх там настільки, наскільки ці бовдури почнуть нам платити. Я б хотів сказати, що це крадіжка в магазині... але ми крадемо не товар з самого магазину. Хай щасти!"
"heist_skm_mallcrasher_h1","Торгівельна Дробарка"
"heist_skm_mus","Діамант"
"heist_skm_mus_briefing","Колись давно один хороший друг Бейна працював з дилером стародавніх артефактів, який діяв із музею McKendrick, на ім'я Софія Клеменс, яка є дуже шанованою фігурою в історичних колах Вашингтона. Нещодавно ми дізналися, що пані Клеменс збирає велику колекцію артефактів з наміром продати їх російському олігарху. План полягає в тому, щоб увірватися до музею і взяти її в заручники. Поліцейські і світські люди у Вашингтоні, ймовірно, заплатять через ніс, щоб тримати її в безпеці, і поки ви будете їх відволікати, я зможу організувати, щоб артефакти, які вона перевозила, «зникли»."
"heist_skm_mus_crimenet","Локк хоче, щоб ти взяв Софію Клеменс в заручники, щоб тримати поліцейських зайнятими, поки він зможе організувати, щоб музейні артефакти «зникли».$NL;$NL;»Захищай заручника$NL;»Тримайся якомога довше$NL;»Домовись про викуп$NL;$NL;"
"heist_skm_mus_h1","Діамант"
"heist_skm_random_briefing","Гаразд, друзі. Настав час для нас трохи розширитися і забезпечити додаткові шляхи доходу на чорний день. Поліцейські в цьому місті добре відомі тим, що виплачують доволі великі суми під час переговорів про викуп, і ми збираємося використати цей факт собі на користь. Тепер вони не виплатять великі сукупності відразу, тому тобі доведеться триматися і бути терплячим якомога довше, поки я намагатимуся витиснути з них більше. І запам'ятай, я не зможу переговорити про великий виграш і твоє звільнення одночасно, тому не попадайся, так?"
"heist_skm_random_h1","Випадковий Пограбування"
"heist_skm_red2","Перший Світовий Банк"
"heist_skm_red2_briefing","Даллас отримав інформацію про те, що Перший Світовий Банк намагається оновити свою систему безпеки і його відвідує представник компанії Frank Yaegar Safes. Цей представник нещодавно консультував кілька банків, охоронних фірм та інших організацій, щоб встановити нову хвилю контрзаходів проти проникнення і злому. Цей представник є високовартісною ціллю, оскільки володіє великою кількістю внутрішньої інформації, тому його компанія, ймовірно, заплатить велику винагороду, щоб тримати його в безпеці, що є причиною, чому ми збираємося його захопити."
"heist_skm_red2_crimenet","Локк хоче, щоб ти захопив представника компанії Frank Yaegar Safes в заручники. Його внутрішня інформація є цінною, і захоплення його в заручники змусить банк повернутися до старої системи безпеки.$NL;$NL;»Захищай заручника$NL;»Тримайся якомога довше$NL;»Домовись про викуп$NL;$NL;"
"heist_skm_red2_h1","Перший Світовий Банк"
"heist_skm_run","Вулична сутичка"
"heist_skm_run_briefing","Поліцейські нещодавно допитали в'язня, який стверджує, що бачив обличчя Бейна і може його ідентифікувати. Хоча ми знаємо, що це неправда, поліцейські цього не знають, так само як і наші конкуренти, тому ми збираємося використати цю ситуацію, щоб отримати трохи грошей. Перехопи цю людину, поки вони перевозять його до програми захисту свідків, біля старого складського двору, де той ідіот Метт розбився на машині, намагаючись втекти від нас. Це має дати нам непоганий викуп."
"heist_skm_run_crimenet","Локк хоче, щоб ти дістався до старого складського двору і взяв втікача-в'язня в заручники.$NL;$NL;»Захищай заручника$NL;»Тримайся якомога довше$NL;»Домовись про викуп$NL;$NL;"
"heist_skm_run_h1","Вулична сутичка"
"heist_skm_watchdogs_stage2","Вантаж на Човен"
"heist_skm_watchdogs_stage2_briefing","Міа Каліенте - справжня штучка, друзі. Протягом багатьох років вона була мозком наркооперації, спрямованої на підсаджування студентів на її товар. Не так давно вона взяла під контроль той склад на доку і тепер використовує його як основний центр розподілу. ФБР проводить за нею стеження, і вона є ключовою фігурою їх розслідування. Ми збираємося вдертися туди, схопити її і взяти в заручники, прямо перед тим, як вони збираються піти на неї. Оскільки вони не можуть дозволити собі її втратити, вони заплатять за її звільнення, щоб не витрачати даремно місяці роботи."
"heist_skm_watchdogs_stage2_crimenet","Локк хоче, щоб ти взяв Міа Каліенте в заручники прямо перед тим, як поліцейські підуть на неї.$NL;$NL;»Захищай заручника$NL;»Тримайся якомога довше$NL;»Домовись про викуп$NL;$NL;"
"heist_skm_watchdogs_stage2_h1","Вантаж на Човен"
"heist_spa","Бруклін 10-10"
"heist_spa_crimenet","Сьогодні ввечері ти вирушаєш до Нью-Йорка. Континентальний зв'язався з нами - один із його ключових співробітників був атакований і утримується невідомими нападниками за адресою в Брукліні. Ми маємо цю адресу з дзвінка, який він зробив, як тільки вони його схопили. Цільова особа має ім'я Картон. Нам потрібно дістатися туди швидко, ліквідувати тих, хто його тримає, і повернути його до Континентального в безпеці.$NL;$NL;»Знайди Картона$NL;»Врятуй Картона і захисти його від нападників$NL;»Поверни те, що було вкрадено$NL;»Врятуйся"
"heist_spa_hl","Бруклін 10-10"
"heist_spa_hl_briefing","Окей. Нумо витягнімо Шерона. Це особиста справа для мене, тож будьте пильними."
"heist_tag","Вилом ФБР"
"heist_tag_briefing","Тепер ми не знаємо точно, що саме ми шукаємо, окрім того, що це, ймовірно, одна з тих речей, яку впізнаєш, коли побачиш. Ймовірно, Ґарретт вже витягнув це з Доказів і сховав десь у своєму офісі. Мій інформатор всередині сказав, що він там і виглядає... розсіяним, тому зустріч точно близька. Нам потрібно проникнути туди зараз, якщо ми хочемо мати шанс викрасти предмет з-під його носа. Важливо, щоб ми увійшли і залишалися тихими. І не вбивайте Ґарретта - ми, ймовірно, знадобимося йому пізніше."
"heist_tag_crimenet","ФБР заарештувало Слона тільки для того, щоб отримати предмет, який у нього був, щоб обміняти його Катару, щоб комісар Ґарретт міг отримати кредит за припинення діяльності Бейна. Угода має відбутися сьогодні ввечері, але ми збираємося увірватися до ФБР і отримати цей предмет першими. $NL;$NL;»Пройди повз охорону$NL;»Знайди офіс Ґарретта$NL;»Відверни увагу Ґарретта$NL;»Захопи предмет з його володіння і врятуйся"
"heist_tag_crimenet_hl","Отримай трохи грошей за PAYDAY."
"heist_tag_hl","Вилом ФБР"
"heist_trai","Втрачений у дорозі"
"heist_trai_briefing","Якщо щось варте викрадення, ми знайдемо спосіб це викрасти. Ми не з тих, хто боїться виклику. Це досить складне завдання, однак. Цей залізничний двір забитий товарними вагонами, тому нам потрібно знайти транспортний маніфест. Але після того, як ми захопимо здобич, ми не зможемо просто проїхати геть. Можливо, найкращий спосіб пограбувати потяг - це викрасти сам потяг. Ти розумієш, про що я говорю?$NL;Пам'ятай: все пройде набагато гладше, якщо армія навіть не дізнається, що ми тут."
"heist_trai_crimenet","Армія перевозить нові друкарські пластини до монетного двору на Заході. Вони збираються використовувати залізничний двір біля Форт-Ворта, щоб зробити це. Якщо ми знайдемо їхній товарний потяг і викрадемо ці пластини, ми зможемо назвати свою ціну на чорному ринку. Але є одна проблема. Армія заблокувала кожну вулицю в радіусі декількох миль, немає жодного способу втекти по дорозі. Я залишу тобі розібратися з цим.$NL;$NL;»Знайди товарний потяг армії$NL;»Викради друкарські пластини$NL;»Врятуйся з залізничного двору"
"heist_trai_hl","Втрачений у дорозі"
"heist_type_assault","Штурм"
"heist_type_heist","Пограбування"
"heist_type_knockover","Напад"
"heist_type_trade","Обмін"
"heist_ukrainian_job","Українська справа"
"heist_ukrainian_job_briefing","Влад дуже не любить цього Дмитра. Одна з тих старосвітських сварок. Можливо, він збезчестив його сестру чи щось таке. У будь-якому разі, давайте допоможемо хлопцю розібратися з цим. Ми йдемо за тіарою - задня кімната, судячи з усього. Не піднімай зайвого жару занадто рано, інакше твоя втеча буде важкою. Перевір свої активи. Поїхали."
"heist_ukrainian_job_crimenet","Допоможи Владу зруйнувати весілля гада, який відправив його до в'язниці.$NL;$NL;»Знайди ювелірний магазин$NL;»Знайди і викради тіару$NL;»Викради будь-які інші цінності, які знайдеш"
"heist_ukrainian_job_hl","Українська справа"
"heist_vit","Білий Дім"
"heist_vit_briefing","Отже, друзі. Помилування, які ми шукаємо, найімовірніше, зберігаються в Президентському центрі надзвичайних операцій, або PEOC, як вони його називають, який розташований під Білим домом. Я не зміг отримати точні деталі - схоже, вони серйозно посилили безпеку, тому нам доведеться діяти по ситуації. Я сам висаджу тебе всередину, і ти будеш носити уніформу Murky, щоб трохи змішатися з натовпом. Якщо зможеш, увійди тихо, якщо дійсно потрібно, то піди на штурм. Це завдання заради Бейна. І, можливо, заради нас теж, так?"
"heist_vit_crimenet","Найбільше Пограбування Всіх Часів. Те, заради чого ти тренувався. Чортовий Білий Дім! Всередині знаходиться відповідь на всі наші проблеми, важливою частиною якої є набір документів - президентські помилування, все ще законні і дійсні, але без будь-яких імен! Якщо ти зможеш їх отримати, ти зможеш вийти на пенсію, не будучи спійманим.$NL;$NL;»Пройди всередину Білого Дому$NL;»Увійди до Овального кабінету$NL;»Отримай ключ-карту президента$NL;»Увійди до PEOC і відкрий сховище$NL;»Викради президентські помилування і врятуйся"
"heist_vit_crimenet_hl","Білий Дім"
"heist_vit_hl","Білий Дім"
"heist_watchdogs","Сторожові пси"
"heist_watchdogs_1_briefing","На цьому завданні ми сторожові пси.$NL;$NL;Одягайте бронежилети та беріть великі пушки. Ми знаємо, що машини Гектора обстрілюють. Ви поїдете в кузові вантажівки. Дивіться, щоб кокаїн нікуди не дівся."
"heist_watchdogs_1_hl","Вантажівка"
"heist_watchdogs_2_briefing","Гаразд, ви їдете на гавань, як ми планували. Розвантажуйте кокаїн з пікапа. Вам потрібно буде подати сигнал Хекторові на човні всередині складу, щоб він прибув. Коли він буде там, завантажте кокаїн на човен, і водій човна зробить решту."
"heist_watchdogs_2_hl","Вантаж на Човен"
"heist_watchdogs_crimenet","Гектору потрібні наглядачі для транспортування кокаїну.$NL;$NL;» Сторожіть кокаїн у вантажівці$NL;» Адаптуйтесь під нові ситуації$NL;» Дістаньтесь до порту$NL;» Доставте товар водію човна"
"heist_welcome_to_the_jungle","Велика Нафта"
"heist_welcome_to_the_jungle_1_briefing","Слон дав нам місцезнаходження банди байкерів, які полюють за невеличким пристроєм вченого. Думаю, вони близькі до того, щоб знайти його - нам потрібна їхня інформація, щоб дістатися до вченого першими. Б'юся об заклад, вони тримають її у сейфі."
"heist_welcome_to_the_jungle_1_hl","Клуб"
"heist_welcome_to_the_jungle_2_briefing","Що ж, я переглянув інформацію, і це має бути цікаво. Перевірте активи. Вивчіть їх з ніг до голови. Нам потрібно проникнути в лабораторію цього хлопця, а в лабораторії - його термоядерний двигун."
"heist_welcome_to_the_jungle_2_hl","Проблема з двигуном"
"heist_welcome_to_the_jungle_crimenet","Слон хоче, щоб ти розібрався з винаходом, який може спричинити політичні проблеми.$NL;$NL;»Дізнайся більше про винахідника$NL;»Знайди і викради винахід"
"heist_wwh","Аляскинська Угода"
"heist_wwh_briefing","Локк попросив допомоги з охороною угоди зі зброєю в Алясці. Каже, що не очікує небезпеки, але на всякий випадок хоче надійної безпеки. Схоже, це може бути легка зарплата, якщо ви можете терпіти холод."
"heist_wwh_crimenet","Дорогі друзі, мені потрібна допомога для розвантаження деякої зброї. Я уклав угоду в Алясці, але мені треба супровід щоб транзакція була забезпечна, так?"
"heist_wwh_hl","Аляскинська Угода"
"houston_desc_codex","Далласів брат може залишити маску Гокстона, але не ім'я. Банда PAYDAY дійшла консенсусу, що відтепер Новий Гокстон буде носити прізвисько Г'юстон. Це невелика ціна за те, щоб заспокоїти Гокстона і - якщо вже на те пішло - частково пробачити банді PAYDAY за те, що вони залишили його у в'язниці."
"hud_assault_survived","ХВИЛЮ ПЕРЕЖИТО"
"job_mex","Перетин кордону"
"job_mex_cooking","Кришталева контрабанда"
"jowi_desc_codex","Джон був грізним кілером, відомим серед найбільших злочинних синдикатів. Після тривалого перебування в тіні Джон нещодавно з'явився і допоміг Чейнсу вийти з делікатної ситуації. Натомість Джон сказав, що йому потрібна команда. Як міг Чейнз відмовити? Він запросив його до Банди PAYDAY, щоб допомогти своєму старому другові. "
"message_got_chavez_keys","Ключі Чавеса у мене!"
"rb14_drk_cbf_01_01","Щоб дістатися до ЕМІ бомби, нам доведеться мати справу з клятим Murkywater. Вони перевозять купу товарів потягом, і робитимуть заплановану зупинку на схованому залізничній станції. Я, звісно, віддав би перевагу прямому штурму зі зброєю, але це занадто ризиковано, так? Тому нам потрібно діяти обережно, хлопці.$NL;$NL;» Знайти потяги$NL;» Знайти частини ЕМІ бомби$NL;» Винести їх звідти та втекти"
"rb14_drk_outro_01_01","Гладко, як шовк, хлопці і дівчата! З безпечним EMP-бомбою ми тепер маємо те, що потрібно, щоб увірватися до прихованого об'єкта. Матушка Росія - ми йдемо!"
"rb14_drk_outro_01_02","Чудово, хлопці! З безпечним EMP-бомбою ми зможемо увірватися до підземного об'єкта. Настав час піти до чортової Росії!"
"rb14_drk_outro_02_01","Чорт, сигнал тривоги спрацював, але ми впоралися. Ми в безпеці. Ті кляті Murkies не будуть знати, що їх вдарило. Akan, однак, буде скажено злий. Сама думка про це тішить мене."
"rb14_mad_cbf_01_01","Ця брудна російська організація проводить деякі дуже тривожні експерименти у прихованій лабораторії в Росії. Ти не повіриш, що вони роблять там. Нам потрібно зупинити Akan від отримання даних, так? Це робити чи вмирати, хлопці і дівчата.$NL;$NL;»Увійди до комплексу$NL;»Отримай доступ до лабораторії$NL;»Отримай дані$NL;»Врятуйся"
"rb14_mad_outro_01_01","Ми зробили це, хлопці! Ми зупинили того біловолосого виродка від отримання даних, яких він прагнув. Тож що ти скажеш? Що ти скажеш? Ми спалимо це, так? Спалимо це прямо до чортового пекла!"
"russian_desc_codex","Даллас досвідчений, хитрий та методичний. Він бездоганно працює в складі команди, однак він не соціальний. Він бездоганно виконує свою частину плану й очікує того ж від інших. "
"spanish_desc_codex","Бувши підлітком, Чейнс постійно потрапляв у неприємності. Після років перебування між прийомними родинами та виховними установами він зрештою опинився в армії. Там він став відмінним солдатом."
