"--101eced83d19b81f","Захід"
"menu_ti_steam_buy_drill","Купити більше свердел"
"menu_ti_steam_buy_drills_init_transaction","Перейти на маркетплейс"
"menu_ti_steam_buy_drills_title","Купити свердла"
"menu_ti_steam_buy_more_drills","Купити більше свердел"
"menu_ti_steam_buy_quantity","Кількість"
"menu_ti_steam_buy_safe","Купити більше сейфів"
"menu_ti_steam_open_container","Відкритий сейф"
"menu_ti_steam_open_safe_title","Відкриваю сейф: ##$ім'я;##"
"menu_time_day_ago","$time; день тому"
"menu_time_days_ago","$time; дні тому"
"menu_time_month_ago","$time; місяць тому"
"menu_time_months_ago","$time; місяці тому"
"menu_time_never","Ніколи."
"menu_time_today","Сьогодні"
"menu_time_week_ago","$time; тиждень тому"
"menu_time_weeks_ago","$time; тижні тому"
"menu_time_year_over","Більше року тому"
"menu_toggle_ai","TEAM AI"
"menu_toggle_ai_help","Встановіть, чи хочете ви грати з командою ШІ."
"menu_toggle_allow_safehouses","Дозволити безпечні будинки"
"menu_toggle_auto_kick","Авто-кік для шахраїв"
"menu_toggle_camera_sensitivity_separate","ОКРЕМА ЧУТЛИВІСТЬ"
"menu_toggle_camera_sensitivity_separate_help","Окремі налаштування чутливості."
"menu_toggle_chromatic","Хроматична аберація"
"menu_toggle_chromatic_help","Увімкніть або вимкніть хроматичну аберацію."
"menu_toggle_dof","Глибина різкості"
"menu_toggle_dof_help","Увімкніть або вимкніть глибину різкості."
"menu_toggle_dot_hide_ads","Приховати точку руху під час ADS"
"menu_toggle_dot_hide_ads_help","Приховування або відображення точки руху під час наведення прицілу вниз"
"menu_toggle_drop_in","ДОЗВОЛИТИ ЗАЙТИ"
"menu_toggle_drop_in_help","Дозволяти або забороняти людям приєднуватися до гри посеред гри."
"menu_toggle_event_music","Музика для подій"
"menu_toggle_event_music_help","Увімкніть заміщення музики під час подій."
"menu_toggle_fov_based_zoom","Відносна чутливість FOV"
"menu_toggle_fov_based_zoom_help","Зменшує вашу чутливість відносно того, на яку відстань збільшує ваша зброя під час використання сталевих прицілів"
"menu_toggle_friends_only","Тільки для друзів та обраних"
"menu_toggle_gamesight","Gamesight"
"menu_toggle_gamesight_help","Вмикає або вимикає Gamesight, для отримання додаткової інформації відвідайте https://pd2.link/PrivacyPolicy."
"menu_toggle_gpu_flush","Очистити графічний процесор"
"menu_toggle_gpu_flush_help","Виправлено затримку рендерингу (може сприйматися як затримка миші/контролера). Може мати незначний вплив на продуктивність."
"menu_toggle_infamy_roman_card","Карта ганьби римськими цифрами"
"menu_toggle_infamy_roman_card_help","Використовуйте римські цифри для відображення рангу ганебності на картці ганебності."
"menu_toggle_infamy_roman_rank","Римські числівники ганебного рангу"
"menu_toggle_infamy_roman_rank_help","Використовуйте римські цифри для відображення рівня ганьби поруч із рівнем гравця."
"menu_toggle_job_appropriate_lobby","Сервери, що відповідають рівню"
"menu_toggle_modded_lobbies","Дозволити модифіковані лобі"
"menu_toggle_modded_players","Дозволити модифікованих гравців"
"menu_toggle_mutated_lobby","Дозволити мутовані лобі"
"menu_toggle_one_down","Одне Падіння"
"menu_toggle_one_down_lobbies","Вестибюлі ''Дозвольте одному спуститися"
"menu_toggle_player_huds","Прихований HUD гравця"
"menu_toggle_player_huds_help","Вмикає або вимикає HUD."
"menu_toggle_server_state_lobby","Тільки на лобі-серверах "
"menu_toggle_southpaw","Південна лапа."
"menu_toggle_southpaw_help","Увімкнути або вимкнути макет Southpaw."
"menu_toggle_telemetry","Телеметрія"
"menu_toggle_telemetry_help","Вмикає або вимикає телеметрію, для отримання додаткової інформації перейдіть за посиланням https://pd2.link/PrivacyPolicy"
"menu_toggle_toggle_new_servers_only","Тільки нові сервери "
"menu_toggle_weekly_skirmish_filter","Тільки щотижневі холдеї"
"menu_toggle_workshop","Увімкнути майстерню"
"menu_toggle_workshop_help","Увімкнути або вимкнути майстерню"
"menu_toggle_zoom_sensitivity","РОЗДІЛЬНЕ ПРИЦІЛЮВАННЯ"
"menu_toggle_zoom_sensitivity_help","Увімкніть окреме налаштування реакції миші під час прицілювання."
"menu_total_achievements","Загальні досягнення"
"menu_total_cash","Загальний заробіток: $money;"
"menu_tough_guy","Крутий хлопець."
"menu_tough_guy_desc","BASIC: ##$basic;##$NL;Зменшує тремтіння камери на ##$multibasic;##, коли вас пошкоджує ворожий вогонь.$NL;#NL;ACE: ##$pro;##$NL;Ваш запас здоров'я при кровотечі збільшується на ##$multipro;##."
"menu_tower_defense_beta","Оборона вежі"
"menu_tower_defense_beta_desc","БАЗОВИЙ: ##$basic;##$NL;Тепер ви можете носити ##$multibasic;## додаткову вартову гармату.$NL;$NL;ACE: ##$pro;##$NL;Тепер ви можете носити додаткову ##$multipro;## додаткову вартову гармату."
"menu_tracked_achievements","Відстежені досягнення"
"menu_transporter","Швидкі руки"
"menu_transporter_desc","BASIC: ##$basic;##$NL;Ви можете збирати та взаємодіяти зі здобиччю ##$multibasic;## швидше.$NL;$NL;ACE: ##$pro;##$NL;Ще більше збільшує швидкість пакування та взаємодії зі здобиччю на ##$multipro;##."
"menu_trial_buy","КУПИТИ ПОВНУ ВЕРСІЮ"
"menu_trial_buy_help","Купуйте повну версію PAYDAY 2 вже сьогодні!"
"menu_trial_info","ПОВНА ІНФОРМАЦІЯ ПРО ГРУ"
"menu_trial_info_help","Інформація про повну версію гри."
"menu_triathlete","Витривалість"
"menu_triathlete_beta","Вимушена дружба"
"menu_triathlete_beta_desc","BASIC: ##$basic;##$NL;Збільшує ваш запас кабельних стяжок на ##$multibasic2;##. Ви можете зв'язувати заручників швидше ##$multibasic3;##. ''АСЕ'': ##$pro;##$NL;Ви та ваша команда отримуєте ##$multipro;## поглинання шкоди за кожного заручника. Цей ефект підсумовується з максимум ##$multipro2;## заручниками.$NL;$NL;Примітка: Це вміння не підсумовується з умінням ''Примусова дружба'' інших гравців."
"menu_triathlete_desc","БАЗОВИЙ: ##$basic;##$NL;Збільшує вашу витривалість на ##$multibasic;##.$NL;$NL;ACE: ##$pro;##$NL;Збільшує витривалість вам і вашій команді на ##$multipro;##."
"menu_trigger_happy","Тригер Щастя"
"menu_trigger_happy_beta","Тригер Щастя"
"menu_trigger_happy_beta_desc","БАЗОВИЙ: ##$basic;##$NL;За кожне попадання з пістолета ви отримуєте ##$multibasic4;## приріст шкоди, який триває ##$multibasic2;## секунд. Складається до ##$multibasic3;## разів.$NL;$NL;ACE: ##$pro;##$NL;Збільшує тривалість збільшення шкоди до ##$multipro2;## секунд."
"menu_trigger_happy_desc","БАЗОВИЙ: ##$basic;##$NL;Кожне успішне постріл з пістолета дає ##$multibasic;## збільшення шкоди на ##$multibasic2;## секунди і може підсумовуватися ##$multibasic3;## разів.$NL;$NL;ACE: ##$pro;##$NL;Збільшує тривалість збільшення шкоди до ##$multipro;##."
"menu_trip_mine_expert","Бойовий інженер"
"menu_trip_mine_expert_beta","Бойовий інженер"
"menu_trip_mine_expert_beta_desc","BASIC: ##$basic;##$NL;Радіус вибухів ваших похідних мін збільшується на ##$multibasic;##.$NL;$NL;ACE: ##$pro;##$NL;Ваша розтяжка завдає ##$multipro;## більше шкоди."
"menu_trip_mine_expert_desc","BASIC: ##$basic;##$NL;Дозволяє вмикати та вимикати міни уповільненої дії.$NL;$NL;ACE: ##$pro;##$NL;Покращує ваші міни уповільненої дії з сенсорним режимом, підсвічуючи ворогів, які проходять повз. Під час стелс режиму міни будуть підсвічувати охоронців і особливих ворогів для вас і вашої команди.$NL;$NL;Якщо стелс режим неможливий, то міни будуть підсвічувати особливих ворогів для вас і вашої команди."
"menu_trip_miner","Людина-зруйнівник"
"menu_trip_miner_desc","BASIC: ##$basic;##$NL;Додає ##$multibasic;## більше мін до вашого інвентарю.$NL;$NL;ACE: ##$pro;##$NL;Зменшує час встановлення міни на ##$multipro;##."
"menu_trophy_change_display_to_off","Прибрати трофей з дисплея"
"menu_trophy_change_display_to_on","Перемістити трофей на дисплей"
"menu_trophy_display_all","Перемістити все на екран"
"menu_trophy_displayed","На екрані"
"menu_trophy_hide_all","Перемістити все до Сховища"
"menu_trophy_not_displayed","На зберіганні"
"menu_trophy_unlocked","Розблоковано"
"menu_ultimate_edition_short","UE"
"menu_underdog","Аутсайдер"
"menu_underdog_beta","Аутсайдер"
"menu_underdog_beta_desc","BASIC: ##$basic;##$NL;Коли три або більше ворогів у радіусі ##$multibasic;## метрів націлені на вас, ви отримуєте бонус до шкоди, який діє протягом ##$multibasic3;## секунд.$NL;$NL;ACE: ##$pro;##$NL;Коли три або більше ворогів у радіусі ##$multipro;## метрів націлені на вас, ви також отримуєте ##$multipro2;## зниження шкоди, яке триває ##$multipro3;## секунд.$NL;$NL;Примітка: Не застосовується до шкоди в ближньому бою, метальної зброї, гранатометів і ракетниць."
"menu_underdog_desc","BASIC: ##$basic;##$NL;Коли вас оточують три вороги або більше, ви отримуєте ##$multibasic;## бонус до шкоди.$NL;$NL;ACE: ##$pro;##$NL;Коли вас оточують три вороги або більше, ви отримуєте ##$multipro;## менше шкоди від ворогів."
"menu_unlock_condition","Умови Для Відкриття:"
"menu_unlock_progress","Прогрес:"
"menu_unseen_strike_beta","Невидимий удар"
"menu_unseen_strike_beta_desc","BASIC: ##$basic;##$NL;Якщо протягом ##$multibasic;## секунд ви не втрачаєте броню та здоров'я, ви отримуєте ##$multibasic2;## шанс критичного удару на ##$multibasic3;## секунд.$NL;$NL;ACE: ##$pro;##$NL;Тривалість шансу критичного удару збільшується до ##$multipro;## секунд.$NL;$NL;Отримання шкоди після закінчення ефекту обнуляє ##$multibasic;##-секундний таймер."
"menu_up_you_go_beta","Вставай."
"menu_up_you_go_beta_desc","BASIC: ##$basic;##$NL;Ви отримуєте ##$multibasic;## менше шкоди на ##$multibasic2;## секунди після відродження.$NL;$NL;ACE: ##$pro;##$NL;Ви отримуєте ##$multipro;## більше здоров'я при відродженні."
"menu_upgrade_progress","ХІД ОНОВЛЕННЯ:"
"menu_upgrades","ОНОВЛЕННЯ"
"menu_upgrades_help","Дізнайтеся, які оновлення доступні для кожної спеціальності."
"menu_upgrades_locked","ОБМЕЖЕННЯ РЕПУТАЦІЇ $LEVEL;"
"menu_use_alienware_masks","ВИКОРИСТОВУВАТИ МАСКИ ЧУЖОРІДНОГО ПРОГРАМНОГО ЗАБЕЗПЕЧЕННЯ"
"menu_use_alienware_masks_help","Увімкнення та вимкнення спеціальних масок Alienware."
"menu_use_developer_masks","ВИКОРИСТОВУЙТЕ МАСКИ ДЛЯ ПРОЯВЛЕННЯ"
"menu_use_thq_weapon_parts","Використовуйте штабну зброю"
"menu_use_thq_weapon_parts_help","Налаштуйте, щоб бачити зброю інших гравців у високій якості."
"menu_user_interface","Інтерфейс користувача"
"menu_user_interface_option_default","ПАРАМЕТРИ ІНТЕРФЕЙСУ КОРИСТУВАЧА ЗА ЗАМОВЧУВАННЯМ"
"menu_user_interface_option_default_help","Скидає параметри інтерфейсу користувача до стану за замовчуванням."
"menu_victory_goto_next_stage","$CONTINUE; Перехід до наступного дня"
"menu_victory_goto_payday","$CONTINUE; ДЕНЬ ВИПЛАТИ"
"menu_victory_retry_stage","$CONTINUE; Повторна спроба етапу"
"menu_video","ВІДЕО"
"menu_video_adapter","Монітор"
"menu_video_adapter_help","Виберіть, який монітор використовувати в повноекранному режимі.$NL;Потребує перезапуску гри."
"menu_video_help","Змініть налаштування відео."
"menu_video_option_default","ПАРАМЕТРИ ВІДЕО ЗА ЗАМОВЧУВАННЯМ"
"menu_video_option_default_help","Скидає параметри відео до стану за замовчуванням."
"menu_view_button_layout","РОЗТАШУВАННЯ КНОПОК"
"menu_view_button_layout_help","Переглянути розташування кнопок."
"menu_view_gamer_card","Переглянути ігрову картку"
"menu_view_invites","ПЕРЕГЛЯНУТИ ЗАПРОШЕННЯ"
"menu_view_invites_help","Перегляньте всі ваші очікувані запрошення."
"menu_visit_community","СПІЛЬНОТА"
"menu_visit_community_help","Приходьте поспілкуватися з нами в OVERKILL та іншими хейстерами на найкращому форумі на землі."
"menu_visit_fbi_files","Файли ФБР"
"menu_visit_fbi_files_help","Зламати ФБР."
"menu_visit_forum","PAYDAY STEAM ФОРУМ"
"menu_visit_forum1","НОВА ВОВЧА ЗГРАЯ DLC НЕЗАБАРОМ! ПІДТРИМАЙ ОВЕРКІЛ!"
"menu_visit_forum2","ПЕРЕВІРТЕ НОВУ WOLF PACK DLC В STEAM!"
"menu_visit_forum3","НАТИСНІТЬ БУДЬ-ЯКУ КЛАВІШУ"
"menu_visit_forum_help","Приходьте поспілкуватися з нами в OVERKILL та іншими хейстерами на найкращому форумі на землі."
"menu_visit_gamehub","Gamehub"
"menu_visit_gamehub_help","Приходьте поспілкуватися з нами в OVERKILL та іншими хейстерами на найкращому форумі на землі."
"menu_visit_more_stats","ПЕРЕГЛЯНУТИ БІЛЬШЕ СТАТИСТИКИ НА СТОРІНЦІ СТАТИСТИКИ STEAM."
"menu_voice_volume","ГУЧНІСТЬ ГОЛОСОВОГО ЧАТУ"
"menu_voice_volume_help","Налаштування гучності голосового чату."
"menu_voicechat_toggle","ВИКОРИСТАННЯ ГОЛОСОВОГО ЧАТУ"
"menu_voicechat_toggle_help","УВІМКНУТИ АБО ВИМКНУТИ ГОЛОСОВИЙ ЧАТ."
"menu_vote_kick_cooldown","Вам доведеться почекати, перш ніж ви зможете створити новий голос."
"menu_vote_kick_is_host","Ведучого не можна бити ногою."
"menu_vsync","Вертикальна синхронізація"
"menu_vsync_help","Увімкніть або вимкніть синхронізацію. Синхронізація зменшує розриви, але обмежує частоту кадрів до частоти оновлення вашого екрана."
"menu_waiting_for_players","Вивантаження."
"menu_waiting_for_players_progress","Очікуємо на $ім'я_гравця; $prog;%"
"menu_waiting_for_server","Чекаємо на господаря"
"menu_waiting_for_server_to_start","Чекаємо на запуск сервера."
"menu_waiting_is_joining","ПРИЄДНАННЯ"
"menu_waiting_is_not_ready","НЕ ГОТОВИЙ"
"menu_waiting_is_ready","ГОТОВІСТЬ"
"menu_waiting_peer_info","Гравець чекає на приєднання до гри.$NL;Вони з'являться на вашій локації, щойно ви їх приймете."
"menu_waiting_peer_left","$name; покинув гру."
"menu_waiting_start","$BTN_A; Почати гру"
"menu_wallet","Гаманець: $money;"
"menu_weapon_color_group_all","Усе."
"menu_weapon_color_index_1","Тактичний"
"menu_weapon_color_index_10","Занурений"
"menu_weapon_color_index_2","Ядро"
"menu_weapon_color_index_3","Металеві"
"menu_weapon_color_index_4","Органічний"
"menu_weapon_color_index_5","Класика"
"menu_weapon_color_index_6","Сучасний"
"menu_weapon_color_index_7","Перевернутий"
"menu_weapon_color_index_8","Напад"
"menu_weapon_color_index_9","Детально"
"menu_weapon_color_index_title","Схема фарбування"
"menu_weapon_color_pattern_scale","Масштаб візерунка."
"menu_weapon_color_quality","Зношеність"
"menu_weapon_color_title","Колір"
"menu_weekly_skirmish","Щотижневе утримання"
"menu_weekly_skirmish_current_progress","Найкраще: $current;/$total;"
"menu_weekly_skirmish_desc","У цьому ігровому режимі ви потрапляєте в заздалегідь налаштоване пограбування HOLDOUT зі спеціальними модифікаторами. Ваша мета - відбитися від 9 хвиль ворогів, складність кожної з яких зростає, щоб отримати спеціальні щотижневі нагороди.$NL;$NL;Тривалість між фазами штурму та перепочинку коротшає, і з кожною хвилею штурму бій стає складнішим. Потенційна нагорода збільшується з кожною завершеною хвилею.$NL;$NL;Ви зазнаєте поразки, якщо одного з вас захоплять у полон або якщо заручника буде врятовано."
"menu_weekly_skirmish_dropin_warning","Ви збираєтеся приєднатися до поточного режиму WEEKLY HOLDOUT, який не відкриває жодних спеціальних нагород. Нагороди WEEKLY HOLDOUT можна розблокувати, лише приєднавшись до режиму з самого початку."
"menu_weekly_skirmish_progress","Щотижнева винагорода"
"menu_weekly_skirmish_rewards","Нагороди"
"menu_weekly_skirmish_short_desc","Захистіться від 9 хвиль ворожих спецназівців, що наступають. За проходження щотижневого етапу утримання ви отримуєте візерунки, матеріали та маски."
"menu_weekly_skirmish_tab_description","Опис"
"menu_wild","Іржа."
"menu_wild_desc_codex","I've had my eyes on the OVERKILL MC operation for quite some time now, and I knew my way in would be through the man called ''Rust''. Together with the Elephant we offered Rust a deal he couldn't turn down, and in return, he proved his new loyalty to Crime.net by killing off his former friends. And just to seal the deal, we're going to help him retrieve something he cares deeply about. Win-win all around."
"menu_wolverine","Берсерк"
"menu_wolverine_beta","Берсерк"
"menu_wolverine_beta_desc","BASIC: ##$basic;##$NL;Чим менше у вас здоров'я, тим більше шкоди ви завдаєте. Коли ваше здоров'я нижче ##$multibasic3;##, ви будете наносити на ##$multibasic2;## більше шкоди в ближньому бою та пилкою.$NL;$NL;ACE: ##$pro;##$NL;Чим менше у вас здоров'я, тим більше шкоди ви завдаєте. Коли ваше здоров'я нижче ##$multipro3;##, ви завдасте на ##$multipro2;## більше шкоди і з дальньої зброї.$NL;$NL;Примітка: не стосується метальних предметів, гранатометів і ракетниць.$NL;$NL;Перехід у стан берсеркера скасовує сторонні ефекти регенерації"
"menu_wolverine_desc","BASIC: ##$basic;##$NL;Чим менше у вас здоров'я, тим більше шкоди ви завдаєте. Коли ваше здоров'я нижче ##$multibasic;##, ви будете наносити на ##$multibasic2;## більше шкоди в ближньому бою та пилкою.$NL;$NL;ACE: ##$pro;##$NL;Коли рівень здоров'я нижче ##$multipro;##, ви завдасте на ##$multipro2;## більше шкоди з дальньої зброї.$NL;$NL;Примітка: не стосується метальних предметів, гранатометів і ракетниць.$NL;$NL;Увійшовши в стан берсеркера, ви скасовуєте ефект регенерації"
"menu_wpn_special","Особлива"
"movie_theater_type_cinematic","кінематографічний"
"movie_theater_type_trailer","причіп"
"movie_theater_type_web","веб-серіал"
"mutator_CG22","Злочинна колядка"
"mutator_birthday","Ювілейний захід"
"mutator_choices_off","Вимкнено"
"mutator_cloaker_effect","Зроби мені ще болючіше"
"mutator_cloaker_effect_desc","Плащі мають особливий ефект, коли вони б'ють когось ногою."
"mutator_cloaker_effect_longdesc","Коли маскувальник атакує і б'є когось ногою, він застосовує вторинний ефект."
"mutator_creeps","Виродки."
"mutator_creeps_desc","Всі вороги вибухають, коли їх вбивають."
"mutator_creeps_longdesc","Вбивство ворога призведе до того, що він вибухне, завдаючи стільки ж шкоди, скільки і влучання, яке його вбило."
"mutator_enemy_damage","Альтернативний арсенал"
"mutator_enemy_damage_desc","Змінити кількість шкоди, яку вороги завдають гравцям."
"mutator_enemy_damage_longdesc","Гравці отримуватимуть більше шкоди, ніж зазвичай, від ударів ворогів."
"mutator_enemy_health","Завдяки навчанню"
"mutator_enemy_health_desc","Змінити кількість здоров'я, з яким вороги починають бій."
"mutator_enemy_health_longdesc","Вороги будуть народжуватися з більшим запасом здоров'я, ніж зазвичай, що полегшує або ускладнює їхнє вбивство."
"mutator_friendly_fire","Дружній вогонь"
"mutator_friendly_fire_desc","Гравці можуть завдавати один одному шкоди звичайною зброєю."
"mutator_friendly_fire_longdesc","Ви можете завдавати шкоди іншим гравцям будь-якою зброєю."
"mutator_hydra","Гідри"
"mutator_hydra_desc","Вбивство ворога розділить його на 2 слабших ворогів."
"mutator_hydra_longdesc","Вбивство ворога розділить його на 2 слабших ворогів на місці, доки він не зможе більше ділитися на слабших ворогів."
"mutator_hydra_split_num","$splits; Розщеплення"
"mutator_medidozer","Найкращі друзі."
"mutator_medidozer_desc","Всі звичайні вороги замінюються на медиків, а всі спеціальні юніти - на бульдозери."
"mutator_medidozer_longdesc","Всі звичайні вороги під час штурмових хвиль замінюються на медиків, а всі спеціальні юніти - на бульдозери."
"mutator_piggybank","Ювілейний захід"
"mutator_piggybank_desc","Вбивайте ворогів пострілами в голову або Cash Blaster, щоб заробити мішки свинячих баксів, а потім покладіть їх у Скарбничку, щоб вона зростала!"
"mutator_shield_dozers","Задрімав."
"mutator_shield_dozers_desc","Бульдозери обладнані щитами."
"mutator_shield_dozers_longdesc","Всі бульдозери обладнані щитом для захисту."
"mutator_shotgun_tweak","Позаземні гейстери"
"mutator_shotgun_tweak_desc","Дробовик вбиває викрадених ворогів."
"mutator_shotgun_tweak_longdesc","Бейн нарешті розкрив свою справжню сутність як Мати-Бейн, а ваші дробовики викрадатимуть ворогів, щоб ви могли повернути їх на материнський корабель. Не розчаруйте Матір-Бейн."
"mutator_shotgun_tweak_mothership","На Материнський корабель!"
"mutator_specials_override","Армія клонів"
"mutator_specials_override_desc","Визначте, який спеціальний юніт буде створений замість усіх інших ворогів."
"mutator_specials_override_longdesc","Всі вороги, які з'являються під час фази штурму, будуть замінені на однакову кількість обраного вами спеціального підрозділу."
"mutator_specials_override_medic","Медики"
"mutator_specials_override_select","Спеціальний підрозділ"
"mutator_specials_override_shield","Щити"
"mutator_specials_override_spooc","Плащі"
"mutator_specials_override_tank","Бульдозери"
"mutator_specials_override_taser","Електрошокери."
"mutator_titandozers","Кошмар наяву"
"mutator_titandozers_desc","Безголовий титан-бульдозер врятувався від нічних кошмарів Вульфа!"
"mutator_titandozers_longdesc","Безголовий титан-бульдозер вирвався з нічних кошмарів Вульфа і став реальністю! Всі звичайні бульдозери тепер стануть страхітливими безголовими титанобудівельниками!"
"myh_desc","Nationality: North American$NL;Age: 50s$NL;$NL;Once going by the alias August Lindenhurst, he abandoned that moniker for simply ''Duke'' when joining the Payday Gang. For the last several years, Duke has been researching patterns and rumors in the larger criminal underworld. He has an innate need, more like an obsession, to pull off one truly epic heist that will put him in the history books alongside famous robbers of the past and he thinks Bain's gang can help him accomplish that goal."
"nx64_menu_cn_view_invites","$BTN_START; VIEW INVITES"
"nx64_menu_ps_view_invites","ПЕРЕГЛЯНУТИ ЗАПРОШЕННЯ"
"nx64_reset_skills_all_button","СКИНУТИ ВСІ ДЕРЕВА"
"nx64_reset_skills_msg","Ви збираєтеся скинути одне або всі ваші дерева навичок.$NL;$NL;Вибір RESET TREE вилучить очки навичок у вибраному дереві навичок і поверне їх вам.$NL;$NL;Вибір RESET ALL TREES вилучить очки навичок з усіх дерев навичок і поверне їх вам."
"nx64_reset_skills_single_button","СКИНУТИ ДЕРЕВО"
"nx64_reset_skills_title","ПЕРЕЗАВАНТАЖИТИ НАВИЧКИ"
"nx64_skill_tree_reset_button","$BTN_RESET_SKILLS; Скинути навички"
"nx64_skill_tree_reset_skills_button","$BTN_RESET_SKILLS; Скинути це дерево"
"old_hoxton_desc","Національність: Англієць$NL;Вік: 32$NL;$NL;Гокстон отримав своє ім'я після того, як був спійманий зі своєю старою бандою в лондонському Іст-Енді. Відсидівши у в'язниці HMYOI, він працював з кількома злочинними синдикатами у свої 20 років, поки не приєднався до Payday Gang. Після успішної серії великих пограбувань до 2011 року, Гокстон був схоплений ФБР і відправлений до в'язниці.$NL;$NL;У 2014 році PAYDAY Gang допомогли йому втекти. Відтоді, як він вийшов на волю, він переконаний, що його хтось підставив."
"short_basics_cash","Готівка"
"short_basics_desc","Ласкаво просимо на сайт Crime.net. Перед тим, як вирушати за великими PAYDAY, вивчіть основи тут."
"short_basics_experience","Досвід"
"short_basics_header","Crime.net: Доступні контракти"
"short_basics_loot","Здобич."
"short_basics_rewards","Нагороди:"
"skill_tree_reset_all_skills_button","$BTN_RESET_ALL_SKILLS; Скинути всі дерева"
"skill_tree_reset_skills_button","$BTN_RESET_SKILLS; Скинути це дерево"
"skirmish_weekly_time_left","Залишилось часу: $hours;h $minutes;min"
"sokol_desc","Національність: Росіянин$NL;Вік: 25$NL;$NL;Незважаючи на молодість, Сокіл має все, щоб стати легендарним хейстером. Обдарований спортсмен, Сокіл також володіє гострим розумом і розуміє свою роль у команді. Він безстрашний і фізично сильний, і використовує це, щоб пробратися до ворога, чи то команда хокеїстів, чи то команда спецпризначенців."
"st_menu_available_skill_points","$бали; доступні бали навичок"
"st_menu_buy_skill_basic","Купити базовий $cost;$NL;$points; пункт"
"st_menu_buy_skill_basic_plural","Купити базові $cost;$NL;$points; бали"
"st_menu_buy_skill_pro","Купити туз $cost;$NL;$points; точка"
"st_menu_buy_skill_pro_plural","Купити туз $cost;$NL;$points; бали"
"st_menu_cost","Кост:"
"st_menu_enforce_shotgun","Снайпер."
"st_menu_enforcer","Виконавець"
"st_menu_enforcer_ammo","Спеціаліст з боєприпасів"
"st_menu_enforcer_armor","Танк"
"st_menu_fugitive_berserker","Розбишака."
"st_menu_fugitive_pistol_akimbo","Стрілок"
"st_menu_fugitive_undead","Revenant"
"st_menu_ghost","Привид"
"st_menu_ghost_concealed","Artful Dodger"
"st_menu_ghost_silencer","Тихий вбивця"
"st_menu_ghost_stealth","Шинобі."
"st_menu_hoxton_pack","Втікач"
"st_menu_infamy_available_points","$бали; доступні бали ганьби"
"st_menu_infamy_secret","Недоступно"
"st_menu_infamy_secret_desc","Наразі цей рівень дерева ганьби заблоковано. Він буде постійно оновлюватися протягом усього терміну дії PAYDAY 2."
"st_menu_mastermind","Натхненник"
"st_menu_mastermind_dominate","Контролер"
"st_menu_mastermind_inspire","Медик"
"st_menu_mastermind_single_shot","Снайпер"
"st_menu_max_perk_dialog_text","Максимізуйте колоду перків: $perk_deck_name;$NL;Це коштує $point_cost; очок перків, щоб зробити $perk_tier; з $max_tier; карт розблокованими.$NL;Наразі $current_tier; з $max_tier; розблоковано."
"st_menu_max_perk_dialog_title","Ти впевнений?"
"st_menu_new_perk_dialog_text","Придбайте всю колоду за $point_cost;? $perk_tier;/$max_tier;"
"st_menu_personal_development","Особистий розвиток"
"st_menu_point","$points; point"
"st_menu_point_plural","$points; points"
"st_menu_points_to_unlock_tier","Щоб розблокувати рівень $tier, вам потрібно витратити ще $points; балів;"
"st_menu_points_to_unlock_tier_singular","Вам потрібно витратити $бали; більше балів, щоб розблокувати рівень $tier;"
"st_menu_prerequisite_following_skill","Для розблокування потрібен наступний навик: "
"st_menu_prerequisite_following_skill_plural","Для розблокування потрібні такі навички:$NL;"
"st_menu_profession_unlocked","$profession; unlocked"
"st_menu_respec_cost","Вартість навички Respec: $cost;"
"st_menu_respec_tree","Поважайте це дерево навичок"
"st_menu_respec_tree_cost","Вам потрібно $cost;, щоб відповідати"
"st_menu_skill_cost","BASIC: $basic; points / ACE: $aced; points"
"st_menu_skill_cost_singular","BASIC: $basic; point / ACE: $aced; points"
"st_menu_skill_locked","Заблоковано"
"st_menu_skill_maxed","Туз."
"st_menu_skill_owned","Належить"
"st_menu_skill_points_spent","Витрачено балів: $балів;"
"st_menu_technician","Технік"
"st_menu_technician_auto","Гнобитель"
"st_menu_technician_breaching","Порушник"
"st_menu_technician_sentry","Інженер"
"st_menu_tier","Рівень $рівень;"
"st_menu_tier_locked","Бонус за рівень заблоковано:"
"st_menu_tier_unlocked","Бонус за рівень розблоковано:"
"st_menu_unlock_profession","Розблокувати $profession;$NL;$points; бали"
"st_menu_value","Значення"
"steam_inventory_boost_cash","$cash; Грошова винагорода для вас і вашої команди"
"steam_inventory_boost_xp","$xp; Нагорода за досвід для вас і вашої команди"
"steam_inventory_boost_xp_cash","Досвід та грошова винагорода для вас і вашої команди"
"steam_inventory_collection_ait_01","Колекція ''Спільнота 8"
"steam_inventory_collection_ast_01","Armor Safe 2: WW2"
"steam_inventory_collection_buck_01","Байкерська колекція"
"steam_inventory_collection_burn_01","Сіднейська колекція"
"steam_inventory_collection_cas_01","Колекція обладунків спільноти 1"
"steam_inventory_collection_cat_01","Колекція ''Спільнота 7"
"steam_inventory_collection_cola_01","Колекція Джиммі"
"steam_inventory_collection_cs3_01","Збірка ''Спільнота 3"
"steam_inventory_collection_cs4_01","Збірка ''Спільнота 4"
"steam_inventory_collection_css_01","Колекція ''Спільнота 6"
"steam_inventory_collection_dallas_01","Колекція Даллас"
"steam_inventory_collection_dss_01","Колекція Дьюка"
"steam_inventory_collection_event_01","Колекція Crimefest 2"
"steam_inventory_collection_event_dinner","Забійна колекція"
